id,z,x,y
1,380.1010132,3821468.562,36598993.55
2,380.1380005,3821468.916,36599020.02
3,381.1040039,3821469.654,36599046.34
4,380.118988,3821455.064,36598993.76
5,381.2449951,3821455.857,36599020.6
6,381.1099854,3821456.165,36599047.01
7,380.8999939,3821410.697,36598984.16
8,380.8789978,3821411.638,36599013.18
9,380.9509888,3821411.789,36599036.95
10,381.177002,3821412.392,36599066.15
11,380.8680115,3821396.157,36598984.39
12,380.9070129,3821396.404,36599013.66
13,380.8110046,3821396.892,36599037.26
14,380.803009,3821397.496,36599066.45
15,380.8900146,3821400.606,36599089.89
16,380.9240112,3821401.111,36599118.91
17,380.8510132,3821401.471,36599144.07
18,380.7650146,3821385.714,36599090.45
19,380.8250122,3821386.536,36599118.1
20,380.7990112,3821387.9,36599145.81
21,380.3519897,3821341.226,36598969.5
22,380.4320068,3821341.648,36598989.89
23,380.4580078,3821341.653,36599010.3
24,380.4570007,3821342.482,36599030.25
