id,z,x,y
1,404.5950012,7362.430176,7030.390137
4,404.6919861,7409.134766,7080.586914
6,404.6600037,7346.647949,7039.600098
7,404.7179871,7362.430176,7058.204102
10,404.5870056,7408.549805,7108.403809
11,404.6849976,7347.220215,7065.899902
12,404.6000061,7362.618164,7075.109863
14,404.5799866,7389.279785,7108.399902
15,404.4890137,7416.919922,7133.919922
16,404.7479858,7340.594238,7090.453125
19,404.8720093,7329.912109,7106.37207
20,404.9360046,7292.962891,7083.713867
24,404.8519897,7286.810059,7109.304199
25,404.9689941,7265.580078,7078.990234
26,405.1170044,7276.295898,7106.10498
28,404.9790039,7199.307129,7080.681152
29,404.9549866,7214.59082,7097.259766
30,405.1530151,7230.413086,7114.394043
33,405.0830078,7198.746094,7107.600098
34,405.07901,7214.615234,7124.77002
35,405.0379944,7229.850098,7141.060059
36,405.1359863,7245.459961,7158
38,405.1669922,7199.279785,7124.669922
39,405.0820007,7215.02002,7141.299805
43,404.552002,7327,7164.823242
45,404.6350098,7346.200195,7209.200195
46,404.7789917,7355.439941,7231.629883
48,404.8240051,7297.995117,7139.819824
51,404.651001,7327.020996,7209.144043
53,404.7219849,7345.509766,7253.47998
54,404.6480103,7351.850098,7279.339844
55,404.9169922,7287.459961,7158.189941
56,404.6659851,7297.779785,7182.180176
57,404.6600037,7307.100098,7203.100098
59,404.6990051,7326.359863,7248.240234
68,404.5690002,7385.379883,7292.754883
113,400,8840,8540
114,400,8860,8560
115,400,8880,8580
B01,404.4169922,7430.02002,7108.859863
B02,404.5220032,7430.25,7135.819824
B03,404.598999,7430.97998,7155.379883
B04,404.4110107,7430.669922,7186.819824
B07,404.4129944,7417.189941,7154.649902
B08,404.5,7416.700195,7184.299805
B09,404.5299988,7417.109863,7214.899902
B11,404.5100098,7402.740234,7209.609863
B12,404.5580139,7402.350098,7242.47998
B14,404.6140137,7398.379883,7255.879883
B15,404.4020081,7389.009766,7077.859863
B17,404.5,7390.259766,7236.129883
B18,404.5329895,7384.390137,7269.819824
B19,404.4079895,7384.680176,7287.839844
B20,404.5629883,7382.120117,7250.129883
B21,404.4580078,7372.509766,7265.439941
B27,404.6860046,7344.419922,7116.549805
B28,404.696991,7344.419922,7148.029785
B29,404.3169861,7342.689941,7178.879883
B33,404.5400085,7332.419922,7283.77002
B34,404.7539978,7329.97998,7083.950195
B36,404.6910095,7328.580078,7136.700195
B37,404.4289856,7330.049805,7180.120117
B45,404.8039856,7273.100098,7138.629883
B46,404.8819885,7277.919922,7167.439941
B47,404.6600037,7276.700195,7202.129883
B48,404.9179993,7234.029785,7085.950195
B51,404.9119873,7222.549805,7163.589844
B52,404.7929993,7216.640137,7088.47998
B56,405.019989,7166.160156,7078.790039
B57,405.1099854,7170.700195,7108.200195
Z01,404.3880005,7446.149902,7123.77002
Z02,404.5620117,7446.189941,7169.399902
Z05,404.4240112,7365.02002,7290.879883
Z06,404.5220032,7384.549805,7119.089844
Z07,404.6489868,7368.299805,7144.299805
Z08,404.5190125,7312.149902,7260.609863
Z09,404.5440063,7298.299805,7230.049805
Z10,404.6679993,7283.080078,7230.089844
Z11,405.1499939,7155.569824,7096.27002
Z12,405.230011,7137.560059,7076.419922
